id,w,v
1,79,7
2,67,74
3,13,75
4,50,78
5,23,50
6,38,35
7,14,0
8,1,19
9,38,97
10,76,17
11,39,82
12,23,91
13,31,64
14,69,21
15,55,49
16,43,82
17,81,72
18,48,71
19,69,71
20,81,88
21,6,75
22,98,87
23,51,71
24,93,46
25,13,69
26,84,37
27,60,74
28,89,60
29,25,17
30,66,89
31,86,21
32,50,65
33,80,78
34,59,3
35,32,97
36,56,86
37,25,94
38,21,69
39,57,31
40,33,83
41,6,74
42,47,48
43,39,76
44,78,9
45,83,8
46,30,51
47,85,14
48,90,6
49,13,44
50,56,27
51,81,12
52,89,60
53,92,56
54,89,72
55,63,94
56,75,91
57,29,84
58,24,74
59,24,27
60,70,22
61,45,91
62,35,45
63,4,70
64,31,6
65,3,28
66,43,94
67,1,98
68,94,19
69,74,49
70,29,52
71,46,38
72,1,69
73,85,39
74,95,96
75,37,49
76,9,56
77,5,84
78,32,41
79,72,58
80,41,36
81,67,52
82,40,85
83,84,85
84,81,42
85,64,92
86,53,90
87,53,85
88,29,1
89,67,51
90,20,25
91,7,52
92,75,18
93,54,12
94,25,34
95,93,94
96,17,53
97,41,13
98,15,7
99,61,30
100,64,89
101,9,47
102,53,65
103,73,48
104,6,44
105,94,31
106,44,66
107,37,33
108,45,89
109,34,35
110,29,85
111,38,18
112,57,84
113,24,43
114,52,60
115,40,37
116,50,33
117,18,40
118,72,13
119,2,58
120,11,69
121,39,96
122,89,86
123,5,8
124,61,95
125,81,16
126,46,9
127,28,90
128,26,9
129,69,9
130,83,12
131,3,98
132,83,57
133,54,36
134,68,70
135,43,69
136,26,24
137,38,34
138,96,45
139,59,45
140,64,78
141,20,89
142,91,58
143,51,85
144,17,12
145,19,85
146,92,52
147,67,93
148,71,89
149,70,71
150,81,97
151,40,51
152,62,70
153,10,1
154,25,99
155,28,99
156,31,54
157,35,56
158,29,4
159,69,36
160,60,94
161,43,77
162,44,3
163,99,21
164,86,33
165,13,49
166,33,17
167,11,61
168,63,77
169,3,89
170,45,1
171,8,47
172,32,49
173,33,22
174,74,20
175,25,27
176,48,66
177,0,62
178,49,77
179,65,99
180,68,10
181,84,9
182,29,15
183,13,79
184,5,96
185,22,93
186,78,62
187,38,86
188,41,73
189,79,31
190,19,37
191,61,98
192,74,16
193,7,88
194,5,87
195,41,67
196,89,79
197,11,96
198,21,1
199,49,1
200,96,20
201,95,14
202,94,22
203,35,25
204,60,10
205,93,95
206,44,16
207,98,37
208,61,77
209,4,6
210,54,68
211,12,17
212,53,17
213,9,59
214,13,53
215,21,78
216,80,55
217,41,21
218,11,18
219,82,39
220,95,54
221,21,29
222,78,43
223,95,55
224,68,60
225,54,2
226,26,88
227,38,25
228,28,39
229,87,80
230,58,39
231,77,80
232,94,20
233,69,15
234,99,13
235,76,11
236,13,47
237,34,19
238,27,4
239,53,49
240,85,89
241,45,34
242,28,40
243,46,90
244,82,77
245,76,11
246,54,53
247,74,65
248,44,7
249,79,75
250,41,31
251,52,84
252,49,76
253,90,51
254,85,75
255,47,3
256,31,64
257,91,27
258,51,15
259,45,97
260,51,39
261,65,78
262,51,57
263,72,42
264,3,93
265,62,80
266,0,93
267,87,51
268,69,38
269,42,86
270,90,94
271,58,21
272,62,34
273,57,13
274,37,61
275,46,83
276,68,46
277,33,39
278,15,71
279,38,75
280,71,29
281,98,73
282,62,77
283,97,28
284,40,40
285,97,15
286,0,31
287,9,91
288,98,86
289,42,56
290,41,91
291,38,69
292,95,25
293,17,23
294,92,41
295,85,79
296,21,75
297,60,43
298,54,98
299,37,47
300,94,2
301,20,40
302,21,82
303,65,24
304,23,57
305,91,59
306,35,11
307,12,2
308,66,56
309,45,98
310,13,77
311,60,24
312,19,76
313,12,42
314,24,89
315,8,96
316,59,25
317,66,91
318,39,33
319,94,82
320,21,94
321,83,96
322,39,24
323,73,45
324,43,24
325,0,64
326,89,19
327,56,0
328,99,83
329,37,94
330,32,16
331,13,46
332,31,15
333,52,42
334,57,6
335,75,47
336,76,21
337,48,73
338,57,59
339,60,13
340,88,96
341,26,61
342,14,29
343,36,48
344,28,92
345,48,94
346,90,74
347,65,26
348,74,30
349,45,31
350,95,80
351,93,88
352,36,10
353,75,71
354,5,6
355,59,43
356,28,80
357,21,64
358,67,37
359,73,32
360,1,48
361,12,4
362,90,52
363,83,48
364,13,34
365,74,3
366,53,64
367,39,60
368,17,74
369,43,38
370,19,52
371,23,91
372,58,1
373,42,50
374,36,98
375,15,31
376,52,70
377,54,58
378,41,64
379,96,44
380,42,38
381,59,69
382,47,25
383,14,73
384,31,72
385,56,57
386,16,77
387,86,1
388,68,22
389,36,4
390,33,29
391,45,15
392,76,90
393,58,93
394,1,56
395,35,2
396,18,98
397,7,15
398,77,95
399,57,53
400,91,77
401,44,86
402,26,58
403,84,0
404,85,55
405,41,7
406,78,40
407,91,6
408,69,85
409,27,81
410,75,36
411,46,57
412,66,46
413,18,59
414,91,34
415,85,18
416,7,35
417,88,79
418,98,30
419,28,38
420,65,24
421,17,82
422,11,6
423,23,45
424,23,41
425,25,65
426,88,2
427,74,71
428,76,63
429,18,90
430,85,63
431,49,98
432,25,76
433,67,1
434,29,26
435,39,49
436,96,62
437,53,20
438,89,60
439,14,60
440,66,61
441,10,91
442,74,85
443,77,22
444,70,4
445,53,68
446,39,61
447,15,17
448,19,4
449,11,80
450,61,4
451,77,90
452,34,16
453,57,80
454,46,0
455,15,63
456,90,54
457,23,41
458,23,42
459,51,7
460,34,37
461,27,21
462,81,41
463,16,17
464,31,69
465,12,16
466,60,54
467,41,69
468,67,43
469,28,95
470,35,81
471,80,57
472,51,42
473,35,68
474,33,90
475,67,45
476,58,43
477,37,48
478,88,73
479,30,88
480,68,65
481,83,48
482,0,24
483,39,45
484,11,10
485,59,29
486,24,91
487,41,96
488,41,60
489,35,92
490,94,78
491,70,74
492,57,77
493,2,50
494,18,91
495,9,80
496,1,67
497,64,81
498,7,92
499,53,68
500,55,65
501,29,54
502,66,43
503,35,18
504,49,52
505,46,73
506,37,14
507,12,84
508,50,43
509,99,36
510,81,55
511,8,59
512,72,92
513,14,27
514,24,64
515,72,4
516,13,64
517,47,9
518,91,44
519,42,52
520,61,43
521,70,38
522,9,0
523,84,89
524,55,21
525,96,8
526,99,55
527,28,78
528,16,35
529,22,98
530,39,7
531,59,42
532,70,80
533,72,72
534,49,66
535,45,10
536,98,68
537,39,21
538,12,34
539,54,14
540,19,4
541,16,14
542,14,41
543,73,8
544,37,72
545,95,42
546,59,50
547,83,22
548,7,92
549,61,53
550,71,6
551,5,23
552,13,71
553,10,52
554,57,43
555,63,82
556,26,95
557,44,36
558,13,61
559,58,47
560,3,52
561,70,47
562,6,16
563,91,4
564,38,92
565,22,37
566,0,91
567,89,81
568,56,13
569,63,4
570,8,80
571,59,92
572,20,75
573,83,88
574,67,85
575,3,69
576,14,41
577,3,68
578,83,21
579,65,67
580,77,85
581,58,8
582,2,73
583,70,54
584,13,29
585,65,84
586,77,28
587,61,3
588,17,71
589,98,28
590,62,83
591,1,43
592,38,13
593,41,30
594,10,81
595,65,81
596,35,86
597,93,89
598,20,5
599,63,35
600,30,99
601,77,38
602,56,63
603,2,25
604,25,87
605,77,42
606,69,86
607,56,53
608,39,56
609,92,29
610,56,37
611,56,28
612,23,23
613,77,38
614,46,61
615,25,4
616,93,16
617,18,76
618,57,57
619,81,52
620,57,71
621,62,26
622,36,83
623,75,39
624,49,33
625,53,97
626,71,56
627,46,49
628,19,33
629,83,17
630,56,16
631,84,56
632,45,83
633,97,84
634,5,11
635,79,0
636,55,20
637,24,10
638,31,29
639,43,25
640,33,88
641,76,33
642,20,71
643,82,72
644,98,98
645,42,91
646,74,67
647,43,13
648,2,48
649,78,80
650,6,52
651,44,75
652,92,5
653,53,60
654,2,4
655,48,22
656,17,73
657,4,79
658,87,4
659,85,72
660,68,49
661,8,28
662,8,44
663,78,45
664,40,40
665,84,20
666,49,36
667,35,64
668,13,42
669,2,46
670,81,16
671,88,63
672,31,57
673,42,41
674,37,45
675,50,19
676,1,23
677,25,99
678,14,70
679,11,9
680,71,61
681,96,98
682,43,16
683,84,74
684,88,60
685,42,6
686,16,38
687,70,64
688,33,15
689,81,28
690,48,10
691,46,95
692,37,6
693,98,78
694,28,29
695,63,85
696,71,30
697,17,76
698,6,35
699,33,70
700,23,66
701,38,17
702,67,33
703,4,65
704,85,35
705,2,24
706,50,5
707,17,73
708,16,25
709,51,75
710,38,2
711,69,69
712,48,72
713,75,88
714,76,70
715,91,64
716,56,44
717,45,90
718,15,62
719,11,22
720,77,86
721,81,45
722,53,4
723,46,45
724,6,89
725,35,39
726,81,28
727,67,44
728,46,93
729,92,0
730,71,19
731,49,92
732,89,91
733,76,75
734,50,79
735,82,78
736,99,11
737,81,10
738,51,7
739,57,54
740,43,48
741,90,86
742,7,12
743,5,16
744,1,12
745,74,85
746,93,48
747,32,9
748,93,14
749,67,90
750,85,2
751,86,98
752,42,66
753,23,76
754,86,72
755,83,66
756,31,0
757,50,68
758,50,12
759,4,75
760,21,57
761,89,50
762,93,16
763,79,89
764,0,33
765,45,56
766,9,75
767,30,98
768,25,87
769,86,40
770,84,57
771,28,31
772,35,53
773,69,45
774,60,26
775,60,62
776,43,1
777,94,77
778,34,8
779,96,26
780,45,77
781,26,33
782,64,36
783,31,50
784,6,19
785,38,59
786,52,45
787,7,86
788,89,26
789,59,72
790,35,38
791,72,9
792,5,63
793,36,76
794,34,39
795,67,33
796,26,88
797,20,81
798,40,87
799,76,74
800,68,54
801,9,36
802,78,81
803,5,23
804,58,83
805,57,82
806,21,62
807,53,31
808,41,40
809,57,0
810,56,17
811,17,46
812,42,21
813,24,96
814,40,24
815,98,81
816,31,26
817,13,74
818,34,72
819,17,18
820,39,68
821,58,39
822,84,76
823,50,66
824,53,70
825,82,37
826,12,15
827,10,16
828,89,73
829,29,81
830,19,1
831,65,1
832,11,81
833,26,44
834,40,86
835,44,34
836,62,34
837,48,47
838,35,83
839,24,68
840,75,43
841,33,11
842,30,63
843,17,85
844,31,54
845,80,5
846,15,72
847,88,48
848,60,14
849,45,55
850,0,20
851,62,56
852,57,79
853,64,10
854,66,16
855,70,14
856,73,54
857,54,82
858,54,24
859,19,79
860,97,19
861,16,44
862,79,84
863,52,59
864,58,57
865,62,87
866,98,64
867,54,85
868,83,82
869,44,3
870,88,2
871,61,64
872,45,12
873,13,13
874,12,83
875,68,43
876,77,0
877,31,6
878,79,78
879,84,21
880,90,63
881,20,20
882,2,4
883,9,11
884,68,96
885,8,71
886,95,97
887,77,1
888,22,72
889,32,5
890,45,26
891,54,77
892,32,42
893,41,39
894,63,89
895,17,12
896,30,87
897,92,6
898,96,88
899,90,10
900,3,55
901,72,98
902,26,18
903,5,95
904,0,98
905,98,26
906,43,64
907,84,0
908,22,32
909,60,90
910,99,49
911,22,90
912,95,70
913,69,0
914,77,59
915,38,12
916,82,38
917,70,0
918,6,75
919,37,32
920,6,35
921,13,84
922,79,69
923,96,86
924,4,39
925,17,49
926,67,50
927,16,73
928,62,58
929,40,59
930,27,85
931,96,31
932,92,66
933,69,65
934,73,10
935,43,53
936,70,2
937,10,55
938,10,42
939,7,57
940,0,73
941,70,70
942,31,13
943,86,27
944,73,81
945,44,79
946,75,98
947,17,69
948,57,6
949,51,16
950,48,23
951,28,54
952,83,67
953,8,50
954,6,46
955,72,94
956,0,92
957,35,78
958,3,85
959,29,72
960,6,43
961,50,56
962,34,59
963,60,16
964,97,6
965,92,83
966,35,77
967,79,83
968,6,6
969,19,86
970,21,5
971,55,29
972,90,64
973,16,36
974,12,79
975,45,18
976,67,26
977,45,58
978,99,55
979,94,44
980,68,54
